,loss,accuracy,val_loss,val_accuracy
0,3.5063698291778564,0.03906228020787239,3.417271375656128,0.045431289821863174
1,2.8953311443328857,0.048575375229120255,2.8048670291900635,0.050477202981710434
2,2.6899640560150146,0.05441832169890404,2.5587971210479736,0.05307966470718384
3,2.296480894088745,0.0602293498814106,2.7362942695617676,0.05484241992235184
4,2.0000760555267334,0.06612911075353622,2.6987154483795166,0.05604071170091629
5,1.846362829208374,0.07146027684211731,2.5737762451171875,0.057707857340574265
6,1.9023616313934326,0.07588005810976028,3.020202398300171,0.058005768805742264
7,1.432991862297058,0.07943598926067352,2.8178794384002686,0.058814454823732376
8,1.3995932340621948,0.08225508034229279,2.569978952407837,0.059209514409303665
9,1.422770380973816,0.08463337272405624,2.7282845973968506,0.0592217817902565
