,dir,val_loss
1,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-001_epochs-100_seqlen-10_maxfeat-15000_batch-32_modeldim-64_units-1024,3.4080348014831543
13,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-014_epochs-100_seqlen-10_maxfeat-15000_batch-64_modeldim-256_units-2048,3.6258583068847656
41,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-042_epochs-100_seqlen-30_maxfeat-15000_batch-64_modeldim-1024_units-512,3.656811237335205
6,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-007_epochs-100_seqlen-10_maxfeat-15000_batch-32_modeldim-1024_units-1024,3.660372495651245
30,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-031_epochs-100_seqlen-30_maxfeat-15000_batch-32_modeldim-256_units-1024,3.701040506362915
39,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-040_epochs-100_seqlen-30_maxfeat-15000_batch-64_modeldim-256_units-1024,3.744465589523315
25,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-026_epochs-100_seqlen-10_maxfeat-15000_batch-128_modeldim-1024_units-2048,3.77059006690979
29,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-030_epochs-100_seqlen-30_maxfeat-15000_batch-32_modeldim-256_units-512,3.8257455825805664
4,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-004_epochs-100_seqlen-10_maxfeat-15000_batch-32_modeldim-256_units-1024,3.95147156715393
27,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-028_epochs-100_seqlen-30_maxfeat-15000_batch-32_modeldim-64_units-1024,3.9726076126098633
5,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-005_epochs-100_seqlen-10_maxfeat-15000_batch-32_modeldim-256_units-2048,4.12661075592041
26,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-027_epochs-100_seqlen-30_maxfeat-15000_batch-32_modeldim-64_units-512,4.30551290512085
21,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-022_epochs-100_seqlen-10_maxfeat-15000_batch-128_modeldim-256_units-1024,4.558372974395752
43,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-044_epochs-100_seqlen-30_maxfeat-15000_batch-64_modeldim-1024_units-2048,5.384989261627197
34,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-035_epochs-100_seqlen-30_maxfeat-15000_batch-32_modeldim-1024_units-2048,5.489987850189209
46,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-047_epochs-100_seqlen-30_maxfeat-15000_batch-128_modeldim-64_units-2048,5.606434345245361
31,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-032_epochs-100_seqlen-30_maxfeat-15000_batch-32_modeldim-256_units-2048,5.682100772857666
37,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-038_epochs-100_seqlen-30_maxfeat-15000_batch-64_modeldim-64_units-2048,6.483327388763428
28,/media/vitrion/ST1000-VTR/results/attentionGRU-CSOIEGP_index-029_epochs-100_seqlen-30_maxfeat-15000_batch-32_modeldim-64_units-2048,6.907558441162109
